userId,start time,finish time,clicks,like,comment,photo
CINTNL3000489,2014-02-12 12:36:49,2014-02-12 12:39:43,1,0,0,0
FF14011,2014-01-13 06:36:18,2014-01-13 06:38:49,0,0,0,0
CINTNL3000438,2014-02-12 12:45:20,2014-02-12 12:46:32,0,0,0,0
CINTNL3000974,2014-02-13 06:57:03,2014-02-13 07:01:16,2,0,0,1
CINTNL3000485,2014-02-12 12:33:50,2014-02-12 12:36:53,1,0,0,0
moj109,2014-01-09 11:57:37,2014-01-09 11:59:03,0,0,0,0
moj108,2014-01-09 11:41:41,2014-01-09 11:45:53,0,0,0,0
CINTNL3000074,2014-02-12 02:45:05,2014-02-12 02:51:53,10,0,0,0
SSINL2000259,2014-01-21 05:12:13,2014-01-21 05:14:12,0,0,0,0
moj101,2014-01-09 09:45:28,2014-01-09 09:48:34,0,0,0,0
moj103,2014-01-09 10:06:36,2014-01-09 10:09:14,0,0,0,0
moj102,2014-01-09 09:50:39,2014-01-09 09:53:26,0,0,0,0
moj104,2014-01-09 10:19:13,2014-01-09 10:22:15,0,0,0,0
moj107,,2014-01-09 11:40:14,0,0,0,0
moj106,2014-01-09 11:13:44,2014-01-09 11:16:38,0,0,0,0
CINTNL3000671,2014-02-12 14:17:03,2014-02-12 14:20:18,3,0,0,1
CINTNL3000670,2014-02-12 14:06:44,2014-02-12 14:08:31,0,0,0,0
SSINL2000548,2014-02-12 08:54:52,2014-02-12 08:55:14,0,0,0,0
CINTNL3000408,2014-02-12 11:57:08,2014-02-12 11:57:52,0,0,0,0
SSINL2000424,2014-01-21 09:53:39,2014-01-21 09:56:56,1,0,0,0
SSINL2000423,2014-01-21 09:53:17,2014-01-21 09:55:18,0,0,0,0
ER14129,2014-01-09 07:24:35,2014-01-09 07:26:52,0,0,0,0
CINTNL3000704,2014-02-12 14:24:18,2014-02-12 14:25:31,0,0,0,0
SSINL2000642,2014-02-12 09:07:03,2014-02-12 09:12:41,3,0,0,1
CINTNL3000278,2014-02-12 08:43:50,0000-00-00 00:00:00,0,0,0,0
FF14003,2014-01-12 16:29:50,2014-01-12 16:41:00,4,0,0,0
GMNL10099,2014-01-20 12:35:35,2014-01-20 12:37:00,0,0,0,0
ERNL10078,2014-02-07 09:29:24,0000-00-00 00:00:00,0,0,0,0
CINTNL3000742,2014-02-12 15:16:55,2014-02-12 15:17:54,0,0,0,0
SSINL2000010,2014-01-20 10:42:48,2014-01-20 10:43:06,0,0,0,0
CINTNL3000933,2014-02-13 05:05:57,2014-02-13 05:09:01,0,0,0,0
CINTNL3000795,2014-02-12 16:28:23,2014-02-12 16:33:39,1,0,0,1
SSINL2000654,2014-02-12 10:05:39,2014-02-12 10:06:52,0,0,0,0
CINTNL3000570,2014-02-12 13:05:57,2014-02-12 13:07:50,0,0,0,0
SSINL2000018,2014-01-20 11:12:11,2014-01-20 11:22:21,1,0,0,0
GMNL10096,2014-01-20 10:33:15,2014-01-20 10:36:41,1,0,0,1
CINTNL3000709,2014-02-12 14:33:33,2014-02-12 14:37:45,1,0,0,1
CINTNL3001095,2014-02-13 15:02:39,2014-02-13 15:09:21,3,0,0,1
SSINL2000364,2014-01-21 08:01:46,2014-01-21 08:04:23,4,1,0,0
CINTNL3000066,2014-02-12 02:38:37,2014-02-12 02:40:20,0,0,0,0
SSINL2000495,2014-01-21 12:12:02,2014-01-21 12:14:11,1,0,0,1
SSINL2000097,2014-01-20 14:10:49,2014-01-20 14:12:29,0,0,0,0
SSINL2000242,2014-01-21 04:48:27,0000-00-00 00:00:00,0,0,0,0
SSINL2000553,2014-02-12 05:20:35,2014-02-12 05:23:34,0,0,0,0
SSINL2000419,2014-01-21 09:44:58,2014-01-21 09:48:15,0,0,0,0
CINTNL3000399,2014-02-12 11:59:34,2014-02-12 12:01:07,0,0,0,0
SSINL2000145,2014-01-20 16:23:06,2014-01-20 16:41:20,2,0,0,1
CINTNL3000536,2014-02-12 12:50:11,2014-02-12 12:51:45,0,0,0,0
SSINL2000558,2014-02-12 05:18:03,2014-02-12 05:22:02,1,0,0,0
CINTNL3000781,2014-02-12 16:12:09,2014-02-12 16:18:30,1,0,0,1
CINTNL3000838,2014-02-12 17:59:51,2014-02-12 18:08:50,2,0,0,1
ER14131,2014-01-09 17:27:06,2014-01-09 17:30:36,0,0,0,0
ER14130,2014-01-09 17:23:53,2014-01-09 17:23:57,0,0,0,0
ER14133,,2014-01-09 17:37:17,0,0,0,0
ER14132,,2014-01-09 17:33:37,0,0,0,0
ER14135,,2014-01-09 17:49:35,0,0,0,0
ER14134,2014-01-09 17:39:52,2014-01-09 17:44:27,2,1,0,1
ER14137,2014-01-10 08:05:59,2014-01-10 08:06:22,0,0,0,0
ER14136,2014-01-09 17:51:51,0000-00-00 00:00:00,1,1,0,0
ERNL10073,2014-02-09 15:26:23,2014-02-09 15:32:38,2,0,0,0
SSINL2000489,2014-01-21 11:57:52,2014-01-21 11:58:57,0,0,0,0
CINTNL3000142,2014-02-12 04:40:04,2014-02-12 04:41:57,0,0,0,0
SSINL2000513,2014-02-12 02:24:13,2014-02-12 02:24:28,0,0,0,0
SSINL2000641,2014-02-12 09:42:46,2014-02-12 09:52:00,2,0,0,1
CINTNL3000909,2014-02-13 04:04:25,2014-02-13 04:08:05,2,0,0,1
SSINL2000482,2014-01-21 11:39:58,2014-01-21 11:40:23,0,0,0,0
GM14014,2014-01-13 01:09:00,2014-01-13 01:12:18,2,0,0,1
SSINL2000371,2014-01-21 07:59:44,2014-01-21 08:00:37,0,0,0,0
GM14011,2014-01-13 00:17:25,2014-01-13 00:19:56,0,0,0,0
GM14010,2014-01-12 23:59:36,2014-01-13 00:03:21,3,0,0,1
GM14012,2014-01-13 00:43:20,2014-01-13 00:46:09,0,0,0,0
CINTNL3000859,2014-02-12 20:25:50,2014-02-12 20:48:56,20,0,1,1
CINTNL3000385,2014-02-12 12:11:47,0000-00-00 00:00:00,0,0,0,0
